2482 | 2482 | TG5438 | ZIP Running | 193
2490 | 2577 | HH5200 | KCUE Running | 138
2495 | 2495 | MP5810 | LHI Waiting | 234
2513 | 2513 | WC5441 | NVE Waiting | 329
2517 | 2517 | GJ1699 | UGK Running | 392
2522 | 2607 | NL7343 | KCUE Running | 263
2535 | 2535 | GU2322 | YYL Waiting | 447
2547 | 2637 | GB5475 | KCUE Running | 88
2555 | 2555 | SI5540 | KCG Waiting | 348
2564 | 2569 | RP7698 | WZY Running | 243
2569 | 2569 | XV8633 | WZY Waiting | 344
2577 | 2667 | ZU5938 | KCUE Running | 333
2600 | 2600 | TJ3648 | VWD Waiting | 214
2607 | 2697 | HH5200 | KCUE Running | 108
2618 | 2618 | CK2402 | QMS Waiting | 260
2637 | 2727 | NL7343 | KCUE Running | 233
2649 | 2649 | AD3718 | IOOQ Running | 398
2649 | 2909 | XL2603 | UGK Running | 54
2667 | 2757 | GB5475 | KCUE Running | 58
2675 | 2675 | TG5438 | ZIP Waiting | 405
2679 | 2679 | AD3718 | IOOQ Running | 368
2697 | 2787 | ZU5938 | KCUE Running | 303
2703 | 2709 | LR3134 | IOOQ Running | 162
2709 | 2739 | AD3718 | IOOQ Running | 338
2727 | 2817 | HH5200 | KCUE Running | 78
2729 | 2729 | MP5810 | LHI Running | 328
2739 | 2769 | LR3134 | IOOQ Running | 132
2757 | 2847 | NL7343 | KCUE Running | 203
2769 | 2799 | AD3718 | IOOQ Running | 308
2787 | 2877 | GB5475 | KCUE Running | 28
2799 | 2829 | LR3134 | IOOQ Running | 102
2803 | 2803 | XU7199 | BRO Running | 23
2812 | 2812 | RP7698 | ERKB Running | 64
2814 | 2814 | TJ3648 | VWD Running | 419
2817 | 2905 | ZU5938 | KCUE Running | 273
2826 | 2842 | XU7199 | ERKB Running | 363
2829 | 2859 | AD3718 | IOOQ Running | 278
2842 | 2947 | WC5441 | NVE Running | 442
2842 | 2872 | RP7698 | ERKB Running | 34
2847 | 2935 | HH5200 | KCUE Running | 48
2849 | 2889 | XT6977 | IOOQ Running | 170
2859 | 2919 | LR3134 | IOOQ Running | 72
2872 | 2902 | XU7199 | ERKB Running | 333
2877 | 2965 | NL7343 | KCUE Running | 173
2878 | 2878 | CK2402 | QMS Running | 301
2889 | 2949 | AD3718 | IOOQ Running | 248
2902 | 2932 | RP7698 | ERKB Running | 4
2903 | 2903 | SI5540 | KCG Running | 306
2905 | 2905 | GB5475 | KCUE Waiting | 123
2909 | 2909 | GJ1699 | UGK Waiting | 166
2913 | 2913 | XV8633 | WZY Running | 468
2919 | 2979 | XT6977 | IOOQ Running | 140
2932 | 2936 | XU7199 | ERKB Running | 303
2935 | 2995 | ZU5938 | KCUE Running | 243
2936 | 2936 | RP7698 | ERKB Waiting | 95
2947 | 2947 | CV9815 | NVE Waiting | 199
2949 | 3009 | LR3134 | IOOQ Running | 42
2963 | 2963 | XL2603 | UGK Waiting | 255
2965 | 3025 | HH5200 | KCUE Running | 18
2966 | 2966 | XU7199 | ERKB Running | 273
2979 | 3039 | AD3718 | IOOQ Running | 218
2982 | 2982 | GU2322 | YYL Running | 476
2995 | 3043 | NL7343 | KCUE Running | 143
2996 | 2996 | XU7199 | ERKB Running | 243
3009 | 3069 | XT6977 | IOOQ Running | 110
3025 | 3073 | ZU5938 | KCUE Running | 213
3026 | 3026 | XU7199 | ERKB Running | 213
3028 | 3103 | GB5475 | KCUE Running | 364
3031 | 3056 | RP7698 | ERKB Running | 443
3039 | 3099 | LR3134 | IOOQ Running | 12
3043 | 3057 | HH5200 | LHI Running | 224
3056 | 3086 | XU7199 | ERKB Running | 183
3057 | 3057 | MP5810 | LHI Waiting | 196
3069 | 3111 | AD3718 | IOOQ Running | 188
3073 | 3133 | NL7343 | KCUE Running | 113
3075 | 3075 | GJ1699 | UGK Running | 422
3080 | 3080 | TG5438 | ZIP Running | 435
3086 | 3116 | RP7698 | ERKB Running | 413
3099 | 3141 | XT6977 | IOOQ Running | 80
3103 | 3163 | ZU5938 | KCUE Running | 183
3111 | 3209 | LR3134 | KCG Running | 12
3116 | 3146 | XU7199 | ERKB Running | 153
3133 | 3193 | GB5475 | KCUE Running | 334
3141 | 3171 | AD3718 | IOOQ Running | 158
3146 | 3389 | CV9815 | NVE Running | 72
3146 | 3176 | RP7698 | ERKB Running | 383
3163 | 3223 | NL7343 | KCUE Running | 83
3171 | 3201 | XT6977 | IOOQ Running | 50
3176 | 3206 | XU7199 | ERKB Running | 123
3179 | 3179 | CK2402 | RQYP Running | 34
3193 | 3253 | ZU5938 | KCUE Running | 153
3201 | 3231 | AD3718 | IOOQ Running | 128
3206 | 3236 | RP7698 | ERKB Running | 353
3209 | 3209 | SI5540 | KCG Waiting | 406
3209 | 3209 | CK2402 | RQYP Running | 4
3213 | 3213 | CK2402 | RQYP Waiting | 412
3218 | 3497 | XL2603 | UGK Running | 393
3221 | 3221 | LR3134 | KCG Waiting | 8
3223 | 3283 | GB5475 | KCUE Running | 304
3229 | 3229 | LR3134 | KCG Running | 145
3231 | 3261 | XT6977 | IOOQ Running | 20
3233 | 3233 | TJ3648 | VWD Waiting | 3
3236 | 3236 | TJ3648 | VWD Running | 427
3236 | 3266 | XU7199 | ERKB Running | 93
3253 | 3281 | MP5810 | LHI Running | 274
3253 | 3313 | NL7343 | KCUE Running | 53
3261 | 3281 | AD3718 | IOOQ Running | 98
3266 | 3296 | RP7698 | ERKB Running | 323
3281 | 3281 | HH5200 | LHI Waiting | 240
3281 | 3374 | XT6977 | KCG Running | 295
3283 | 3343 | ZU5938 | KCUE Running | 123
3296 | 3326 | XU7199 | ERKB Running | 63
3311 | 3311 | AD3718 | IOOQ Running | 68
3313 | 3373 | GB5475 | KCUE Running | 274
3326 | 3356 | RP7698 | ERKB Running | 293
3341 | 3341 | AD3718 | IOOQ Running | 38
3343 | 3403 | NL7343 | KCUE Running | 23
3356 | 3386 | XU7199 | ERKB Running | 33
3371 | 3371 | AD3718 | IOOQ Running | 8
3373 | 3426 | ZU5938 | KCUE Running | 93
3374 | 3374 | LR3134 | KCG Waiting | 221
3379 | 3663 | AD3718 | VWD Running | 231
3381 | 3381 | XV8633 | WZY Waiting | 221
3386 | 3416 | RP7698 | ERKB Running | 263
3389 | 3389 | WC5441 | NVE Waiting | 255
3403 | 3456 | GB5475 | KCUE Running | 244
3416 | 3446 | XU7199 | ERKB Running | 3
3426 | 3555 | NL7343 | LHI Running | 214
3446 | 3449 | RP7698 | ERKB Running | 233
3449 | 3449 | XU7199 | ERKB Waiting | 280
3456 | 3486 | ZU5938 | KCUE Running | 63
3458 | 3458 | GU2322 | YYL Waiting | 190
3461 | 3461 | CV9815 | NVE Waiting | 351
3479 | 3479 | RP7698 | ERKB Running | 203
3486 | 3516 | GB5475 | KCUE Running | 214
3497 | 3497 | GJ1699 | UGK Waiting | 475
3509 | 3509 | RP7698 | ERKB Running | 173
3515 | 3515 | TG5438 | RQYP Running | 317
3516 | 3546 | ZU5938 | KCUE Running | 33
3521 | 3769 | HH5200 | LHI Running | 25
3539 | 3539 | RP7698 | ERKB Running | 143
3545 | 3545 | TG5438 | RQYP Running | 287
3546 | 3576 | GB5475 | KCUE Running | 184
3555 | 3606 | MP5810 | KCUE Running | 270
3569 | 3569 | RP7698 | ERKB Running | 113
3575 | 3575 | TG5438 | RQYP Running | 257
3576 | 3636 | ZU5938 | KCUE Running | 3
3595 | 3669 | LR3134 | KCG Running | 35
3599 | 3599 | RP7698 | ERKB Running | 83
3602 | 3602 | XV8633 | WZY Running | 233
3605 | 3605 | TG5438 | RQYP Running | 227
3606 | 3639 | GB5475 | KCUE Running | 154
3615 | 3704 | SI5540 | KCG Running | 191
3625 | 3635 | CK2402 | RQYP Running | 47
3629 | 3629 | RP7698 | ERKB Running | 53
3635 | 3665 | TG5438 | RQYP Running | 197
3636 | 3669 | MP5810 | KCUE Running | 240
3639 | 3639 | ZU5938 | VSE Running | 144
3644 | 3644 | WC5441 | NVE Running | 90
3648 | 3648 | GU2322 | YYL Running | 309
3659 | 3659 | RP7698 | ERKB Running | 23
3663 | 3663 | TJ3648 | VWD Waiting | 117
3665 | 3695 | CK2402 | RQYP Running | 17
3669 | 3669 | XT6977 | KCG Waiting | 459
3669 | 3699 | GB5475 | KCUE Running | 124
3682 | 3682 | RP7698 | ULK Running | 137
3695 | 3712 | TG5438 | RQYP Running | 167
3699 | 3729 | MP5810 | KCUE Running | 210
3704 | 3704 | LR3134 | KCG Waiting | 194
3712 | 3712 | CK2402 | CKN Running | 40
3729 | 3729 | XU7199 | ERKB Running | 383
3729 | 3759 | GB5475 | KCUE Running | 94
3734 | 3734 | WC5441 | NVE Waiting | 370
3742 | 3742 | TG5438 | RQYP Running | 137
3752 | 3752 | CK2402 | CKN Waiting | 425
3759 | 3789 | MP5810 | KCUE Running | 180
3759 | 3759 | XU7199 | ERKB Running | 353
3769 | 3769 | NL7343 | LHI Waiting | 128
3772 | 3772 | TG5438 | RQYP Running | 107
3780 | 3894 | TJ3648 | VWD Running | 429
3783 | 3783 | ZU5938 | VSE Waiting | 54
3789 | 3819 | GB5475 | KCUE Running | 64
3789 | 3789 | XU7199 | ERKB Running | 323
3794 | 3794 | HH5200 | LHI Waiting | 26
3802 | 3802 | TG5438 | RQYP Running | 77
3812 | 3812 | CV9815 | NVE Running | 375
3819 | 3819 | RP7698 | ULK Waiting | 2
3819 | 3849 | MP5810 | KCUE Running | 150
3819 | 3819 | XU7199 | ERKB Running | 293
3820 | 3820 | HH5200 | LHI Running | 219
3821 | 3821 | RP7698 | ULK Running | 297
3832 | 3832 | TG5438 | RQYP Running | 47
3835 | 3849 | XV8633 | ERKB Running | 294
3837 | 3837 | ZU5938 | VSE Running | 40
3849 | 3879 | GB5475 | KCUE Running | 34
3849 | 3879 | XU7199 | ERKB Running | 263
3862 | 3862 | TG5438 | RQYP Running | 17
3877 | 3877 | ZU5938 | VSE Waiting | 373
3879 | 3879 | TG5438 | RQYP Waiting | 483
3879 | 3909 | MP5810 | KCUE Running | 120
3879 | 3909 | XV8633 | ERKB Running | 264
3890 | 3890 | XL2603 | UGK Waiting | 119
3894 | 3894 | AD3718 | VWD Waiting | 140
3895 | 3895 | SI5540 | KCG Waiting | 219
