1318 | 1576 | TL2982 | HGFW Running | 423
1321 | 1501 | GB2251 | DXVZ Running | 75
1323 | 1506 | GZ3604 | ESMH Running | 341
1326 | 1536 | SP7534 | ESMH Running | 190
1333 | 1566 | IC8069 | ESMH Running | 73
1336 | 1606 | NN8794 | HGFW Running | 110
1337 | 1487 | NH6242 | BQYR Running | 183
1343 | 1517 | VN4012 | BQYR Running | 229
1344 | 1554 | JT3277 | OOAZ Running | 15
1351 | 1531 | ZU2189 | DXVZ Running | 210
1356 | 1596 | IB2245 | ESMH Running | 272
1366 | 1636 | VH3678 | HGFW Running | 437
1367 | 1547 | XY9223 | BQYR Running | 228
1374 | 1569 | AD8511 | OOAZ Running | 108
1381 | 1561 | CC5139 | DXVZ Running | 365
1386 | 1626 | VD8687 | ESMH Running | 73
1391 | 1391 | AF6242 | DJO Waiting | 467
1391 | 1591 | ND2907 | DXVZ Running | 49
1396 | 1666 | JA4280 | HGFW Running | 319
1397 | 1577 | TN6868 | BQYR Running | 52
1404 | 1599 | UB9133 | OOAZ Running | 104
1411 | 1621 | EH4550 | DXVZ Running | 74
1413 | 1651 | US8272 | DXVZ Running | 329
1416 | 1656 | LM3957 | ESMH Running | 157
1426 | 1696 | WL1684 | HGFW Running | 260
1427 | 1607 | FQ9107 | BQYR Running | 98
1434 | 1629 | TD6914 | OOAZ Running | 446
1441 | 1681 | ZR8988 | DXVZ Running | 34
1446 | 1686 | TF9145 | ESMH Running | 423
1447 | 1726 | ZH5553 | HGFW Running | 387
1456 | 1756 | UD2640 | HGFW Running | 21
1457 | 1637 | NH2676 | BQYR Running | 275
1461 | 1716 | AC5194 | ESMH Running | 214
1464 | 1659 | HB4869 | OOAZ Running | 28
1465 | 1711 | XS6670 | DXVZ Running | 496
1471 | 1741 | GI5277 | DXVZ Running | 337
1476 | 1746 | MJ4305 | ESMH Running | 81
1486 | 1777 | DR7257 | HGFW Running | 279
1487 | 1667 | QZ7189 | BQYR Running | 14
1494 | 1687 | YK3785 | OOAZ Running | 131
1501 | 1771 | BW1558 | DXVZ Running | 148
1506 | 1776 | GN7223 | ESMH Running | 248
1510 | 1807 | SF3778 | HGFW Running | 69
1516 | 1837 | AY4830 | HGFW Running | 212
1517 | 1681 | NH6242 | BQYR Running | 153
1524 | 1801 | LY8535 | DXVZ Running | 158
1524 | 1717 | IE1748 | OOAZ Running | 173
1531 | 1831 | GB2251 | DXVZ Running | 45
1536 | 1806 | GZ3604 | ESMH Running | 311
1546 | 1867 | PX2040 | HGFW Running | 346
1547 | 1711 | VN4012 | BQYR Running | 199
1554 | 1747 | AI4405 | OOAZ Running | 346
1561 | 1861 | ZU2189 | DXVZ Running | 180
1566 | 1741 | OO3776 | BQYR Running | 110
1566 | 1836 | SP7534 | ESMH Running | 160
1569 | 1569 | JT3277 | OOAZ Waiting | 462
1576 | 1897 | ZT7628 | HGFW Running | 46
1577 | 1771 | XY9223 | BQYR Running | 198
1591 | 1891 | CC5139 | DXVZ Running | 335
1596 | 1866 | IC8069 | ESMH Running | 43
1599 | 1777 | AD8511 | OOAZ Running | 78
1603 | 1807 | PM9306 | OOAZ Running | 390
1606 | 1927 | TL2982 | HGFW Running | 393
1607 | 1801 | TN6868 | BQYR Running | 22
1621 | 1921 | ND2907 | DXVZ Running | 19
1626 | 1896 | IB2245 | ESMH Running | 242
1629 | 1837 | UB9133 | OOAZ Running | 74
1636 | 1957 | NN8794 | HGFW Running | 80
1637 | 1823 | FQ9107 | BQYR Running | 68
1651 | 1940 | EH4550 | DXVZ Running | 44
1656 | 1926 | VD8687 | ESMH Running | 43
1659 | 1867 | TD6914 | OOAZ Running | 416
1666 | 1987 | VH3678 | HGFW Running | 407
1667 | 1853 | NH2676 | BQYR Running | 245
1680 | 2017 | YT9777 | HGFW Running | 412
1681 | 1681 | QZ7189 | BQYR Waiting | 323
1681 | 1970 | US8272 | DXVZ Running | 299
1682 | 1897 | CF7184 | OOAZ Running | 218
1686 | 1956 | LM3957 | ESMH Running | 127
1687 | 1687 | HB4869 | OOAZ Waiting | 168
1696 | 2047 | JA4280 | HGFW Running | 289
1711 | 1883 | NH6242 | BQYR Running | 123
1711 | 2000 | ZR8988 | DXVZ Running | 4
1716 | 1986 | TF9145 | ESMH Running | 393
1717 | 1927 | YK3785 | OOAZ Running | 101
1726 | 2077 | WL1684 | HGFW Running | 230
1741 | 1913 | VN4012 | BQYR Running | 169
1741 | 2004 | XS6670 | DXVZ Running | 466
1746 | 2016 | AC5194 | ESMH Running | 184
1747 | 1957 | IE1748 | OOAZ Running | 143
1756 | 2107 | ZH5553 | HGFW Running | 357
1771 | 2034 | GI5277 | DXVZ Running | 307
1771 | 1943 | OO3776 | BQYR Running | 80
1775 | 1987 | BB4270 | OOAZ Running | 430
1776 | 2046 | MJ4305 | ESMH Running | 51
1777 | 1777 | UD2640 | HGFW Waiting | 203
1777 | 2017 | AI4405 | OOAZ Running | 316
1796 | 2047 | GI1622 | OOAZ Running | 486
1801 | 2064 | BW1558 | DXVZ Running | 118
1801 | 1973 | XY9223 | BQYR Running | 168
1806 | 2076 | GN7223 | ESMH Running | 218
1807 | 2077 | AD8511 | OOAZ Running | 48
1807 | 2137 | DR7257 | HGFW Running | 249
1810 | 2167 | AT4579 | HGFW Running | 46
1817 | 2107 | OA6178 | OOAZ Running | 444
1823 | 1823 | TN6868 | BQYR Waiting | 396
1831 | 2094 | LY8535 | DXVZ Running | 128
1836 | 2106 | GZ3604 | ESMH Running | 281
1837 | 2137 | PM9306 | OOAZ Running | 360
1837 | 2197 | SF3778 | HGFW Running | 39
1853 | 2003 | FQ9107 | BQYR Running | 38
1855 | 2167 | HB4869 | OOAZ Running | 264
1858 | 1858 | AF6242 | DJO Running | 468
1861 | 2124 | GB2251 | DXVZ Running | 15
1866 | 2136 | SP7534 | ESMH Running | 130
1867 | 2227 | AY4830 | HGFW Running | 182
1867 | 2197 | UB9133 | OOAZ Running | 44
1883 | 2033 | NH2676 | BQYR Running | 215
1891 | 2139 | ZU2189 | DXVZ Running | 150
1896 | 2166 | IC8069 | ESMH Running | 13
1897 | 2257 | PX2040 | HGFW Running | 316
1897 | 2227 | TD6914 | OOAZ Running | 386
1903 | 2169 | XI3826 | DXVZ Running | 197
1910 | 2287 | XF7494 | HGFW Running | 140
1913 | 2063 | NH6242 | BQYR Running | 93
1921 | 2199 | CC5139 | DXVZ Running | 305
1926 | 2179 | IB2245 | ESMH Running | 212
1927 | 2257 | CF7184 | OOAZ Running | 188
1927 | 2317 | ZT7628 | HGFW Running | 16
1940 | 1940 | ND2907 | FQU Running | 264
1943 | 2093 | VN4012 | BQYR Running | 139
1948 | 2287 | NG9020 | OOAZ Running | 467
1956 | 2209 | VD8687 | ESMH Running | 13
1957 | 2333 | TL2982 | HGFW Running | 363
1957 | 2317 | YK3785 | OOAZ Running | 71
1970 | 2229 | EH4550 | DXVZ Running | 14
1973 | 2123 | OO3776 | BQYR Running | 50
1980 | 2363 | UD2640 | HGFW Running | 236
1984 | 2222 | DX4272 | ESMH Running | 436
1986 | 2252 | LM3957 | ESMH Running | 97
1987 | 2347 | IE1748 | OOAZ Running | 113
1987 | 2393 | NN8794 | HGFW Running | 50
2000 | 2243 | US8272 | DXVZ Running | 269
2003 | 2273 | MP8221 | DXVZ Running | 283
2003 | 2153 | XY9223 | BQYR Running | 138
2004 | 2183 | QZ7189 | BQYR Running | 497
2004 | 2004 | ZR8988 | DXVZ Waiting | 287
2008 | 2282 | DQ2610 | ESMH Running | 182
2011 | 2423 | YM2218 | HGFW Running | 382
2016 | 2312 | TF9145 | ESMH Running | 363
2017 | 2377 | BB4270 | OOAZ Running | 400
2017 | 2453 | VH3678 | HGFW Running | 377
2018 | 2407 | BR3605 | OOAZ Running | 190
2027 | 2483 | ER7855 | HGFW Running | 483
2031 | 2437 | JT3277 | OOAZ Running | 132
2033 | 2213 | FQ9107 | BQYR Running | 8
2034 | 2303 | XS6670 | DXVZ Running | 436
2046 | 2342 | AC5194 | ESMH Running | 154
2047 | 2467 | AI4405 | OOAZ Running | 286
2047 | 2513 | YT9777 | HGFW Running | 382
2050 | 2543 | UF7703 | HGFW Running | 242
2063 | 2221 | NH2676 | BQYR Running | 185
2064 | 2333 | GI5277 | DXVZ Running | 277
2076 | 2372 | MJ4305 | ESMH Running | 21
2077 | 2497 | GI1622 | OOAZ Running | 456
2077 | 2573 | JA4280 | HGFW Running | 259
2089 | 2393 | ER5436 | ESMH Running | 98
2092 | 2363 | SI1629 | DXVZ Running | 383
2093 | 2251 | NH6242 | BQYR Running | 63
2094 | 2393 | BW1558 | DXVZ Running | 88
2101 | 2527 | JW3429 | OOAZ Running | 154
2106 | 2423 | GN7223 | ESMH Running | 188
2107 | 2557 | AD8511 | OOAZ Running | 18
2107 | 2603 | WL1684 | HGFW Running | 200
2123 | 2281 | VN4012 | BQYR Running | 109
2124 | 2423 | LY8535 | DXVZ Running | 98
2136 | 2453 | GZ3604 | ESMH Running | 251
2137 | 2575 | OA6178 | OOAZ Running | 414
2137 | 2633 | ZH5553 | HGFW Running | 327
2139 | 2139 | GB2251 | DXVZ Waiting | 77
2153 | 2311 | OO3776 | BQYR Running | 20
2160 | 2605 | RM4892 | OOAZ Running | 302
2166 | 2483 | SP7534 | ESMH Running | 100
2167 | 2663 | DR7257 | HGFW Running | 219
2167 | 2635 | PM9306 | OOAZ Running | 330
