4556 | 4586 | MZ3942 | FHTG Running | 162
4560 | 4633 | WR2564 | CQT Running | 132
4586 | 4616 | RC8827 | FHTG Running | 141
4616 | 4646 | MZ3942 | FHTG Running | 132
4633 | 4633 | SB8199 | CQT Waiting | 104
4646 | 4676 | RC8827 | FHTG Running | 111
4676 | 4706 | MZ3942 | FHTG Running | 102
4706 | 4736 | RC8827 | FHTG Running | 81
4736 | 4766 | MZ3942 | FHTG Running | 72
4737 | 4765 | SB8199 | CQT Running | 106
4765 | 4765 | WR2564 | PVUW Running | 55
4766 | 4796 | RC8827 | FHTG Running | 51
4795 | 4795 | WR2564 | PVUW Running | 25
4796 | 4826 | MZ3942 | FHTG Running | 42
4820 | 4820 | WR2564 | Finished | 0
4826 | 4856 | RC8827 | FHTG Running | 21
4856 | 4877 | MZ3942 | FHTG Running | 12
4871 | 4871 | SB8199 | CQT Waiting | 415
4877 | 4877 | RC8827 | Finished | 0
4889 | 4889 | MZ3942 | LJM Running | 316
5205 | 5205 | MZ3942 | LJM Waiting | 306
5286 | 5286 | SB8199 | CQT Running | 24
5310 | 5310 | SB8199 | CQT Waiting | 76
5386 | 5386 | SB8199 | CQT Running | 498
5511 | 5511 | MZ3942 | LJM Running | 493
5884 | 5884 | SB8199 | PVUW Running | 432
5914 | 5914 | SB8199 | PVUW Running | 402
5944 | 5944 | SB8199 | PVUW Running | 372
5974 | 5974 | SB8199 | PVUW Running | 342
6004 | 6004 | MZ3942 | LJM Waiting | 342
6004 | 6004 | SB8199 | PVUW Running | 312
6034 | 6034 | SB8199 | PVUW Running | 282
6064 | 6064 | SB8199 | PVUW Running | 252
6094 | 6094 | SB8199 | PVUW Running | 222
6124 | 6124 | SB8199 | PVUW Running | 192
6154 | 6154 | SB8199 | PVUW Running | 162
6184 | 6184 | SB8199 | PVUW Running | 132
6214 | 6214 | SB8199 | PVUW Running | 102
6244 | 6244 | SB8199 | PVUW Running | 72
6274 | 6274 | SB8199 | PVUW Running | 42
6304 | 6304 | SB8199 | PVUW Running | 12
6316 | 6316 | SB8199 | Finished | 0
6346 | 6346 | MZ3942 | LJM Running | 247
6593 | 6593 | MZ3942 | LJM Waiting | 108
6701 | 6701 | MZ3942 | LJM Running | 95
6796 | 6796 | MZ3942 | FHTG Running | 434
6826 | 6826 | MZ3942 | FHTG Running | 404
6856 | 6856 | MZ3942 | FHTG Running | 374
6886 | 6886 | MZ3942 | FHTG Running | 344
6916 | 6916 | MZ3942 | FHTG Running | 314
6946 | 6946 | MZ3942 | FHTG Running | 284
6976 | 6976 | MZ3942 | FHTG Running | 254
7006 | 7006 | MZ3942 | FHTG Running | 224
7036 | 7036 | MZ3942 | FHTG Running | 194
7066 | 7066 | MZ3942 | FHTG Running | 164
7096 | 7096 | MZ3942 | FHTG Running | 134
7126 | 7126 | MZ3942 | FHTG Running | 104
7156 | 7156 | MZ3942 | FHTG Running | 74
7186 | 7186 | MZ3942 | FHTG Running | 44
7216 | 7216 | MZ3942 | FHTG Running | 14
7230 | 7230 | MZ3942 | Finished | 0
