1018 | 1242 | PD6313 | ALIV Running | 105
1029 | 1029 | LR7917 | FJSX Waiting | 33
1032 | 1272 | GU6400 | ALIV Running | 197
1037 | 1267 | RR4818 | FFTC Running | 134
1039 | 1189 | BJ4358 | EOUY Running | 183
1040 | 1040 | RT4035 | NSI Waiting | 418
1045 | 1045 | OO8864 | VNG Waiting | 20
1045 | 1075 | AM1241 | SRBM Running | 54
1059 | 1179 | PS5394 | FJSX Running | 237
1062 | 1209 | LR7917 | FJSX Running | 252
1062 | 1302 | NV1107 | ALIV Running | 286
1065 | 1065 | OO8864 | VNG Running | 278
1067 | 1297 | OJ8092 | FFTC Running | 118
1069 | 1219 | RB5112 | EOUY Running | 398
1075 | 1105 | JS9426 | SRBM Running | 235
1087 | 1327 | DO7856 | FFTC Running | 99
1089 | 1135 | UK2328 | SRBM Running | 340
1089 | 1239 | MN7646 | FJSX Running | 380
1092 | 1357 | NJ8281 | FFTC Running | 255
1092 | 1332 | VF5011 | ALIV Running | 61
1097 | 1387 | RE5250 | FFTC Running | 295
1099 | 1249 | SU6401 | EOUY Running | 24
1105 | 1165 | AM1241 | SRBM Running | 24
1118 | 1362 | MV9271 | ALIV Running | 222
1119 | 1269 | RX8056 | FJSX Running | 189
1122 | 1392 | QL3937 | ALIV Running | 72
1127 | 1417 | AB7275 | FFTC Running | 304
1129 | 1273 | RH2097 | EOUY Running | 71
1132 | 1303 | MS3067 | EOUY Running | 171
1135 | 1189 | JS9426 | SRBM Running | 205
1141 | 1447 | LQ4176 | FFTC Running | 326
1149 | 1299 | IC8737 | FJSX Running | 119
1152 | 1422 | MO4112 | ALIV Running | 99
1157 | 1477 | QD3715 | FFTC Running | 279
1159 | 1333 | HH7831 | EOUY Running | 410
1165 | 1219 | UK2328 | SRBM Running | 310
1178 | 1507 | AW2521 | FFTC Running | 381
1179 | 1329 | KZ5553 | FJSX Running | 252
1182 | 1452 | IK3661 | ALIV Running | 235
1187 | 1537 | SE6819 | FFTC Running | 230
1189 | 1189 | AM1241 | SRBM Waiting | 45
1189 | 1363 | NN2959 | EOUY Running | 325
1209 | 1359 | PS5394 | FJSX Running | 207
1212 | 1482 | HJ9644 | ALIV Running | 61
1217 | 1567 | QJ6920 | FFTC Running | 274
1219 | 1393 | BJ4358 | EOUY Running | 153
1219 | 1249 | JS9426 | SRBM Running | 175
1234 | 1279 | AM1241 | SRBM Running | 292
1237 | 1237 | ZG7490 | FFTC Waiting | 360
1239 | 1389 | LR7917 | FJSX Running | 222
1240 | 1423 | NJ6254 | EOUY Running | 440
1242 | 1512 | JY3265 | ALIV Running | 251
1249 | 1453 | RB5112 | EOUY Running | 368
1249 | 1309 | UK2328 | SRBM Running | 280
1252 | 1542 | YH3200 | ALIV Running | 415
1267 | 1597 | ID5328 | FFTC Running | 399
1269 | 1419 | MN7646 | FJSX Running | 350
1272 | 1572 | PD6313 | ALIV Running | 75
1273 | 1273 | SU6401 | NSI Running | 326
