730 | 730 | QJ4589 | FKIV Running | 325
730 | 730 | GC9521 | CJTY Running | 332
731 | 731 | KY9181 | IZCW Running | 121
732 | 732 | OZ9719 | XDZS Running | 470
733 | 733 | BW4028 | ZODI Running | 35
735 | 735 | AR5532 | VATX Running | 317
735 | 735 | QU3910 | FLNB Running | 8
735 | 735 | RK3997 | DGSE Running | 35
736 | 736 | UR2397 | LJTV Running | 20
737 | 737 | YS5313 | WOGG Running | 42
738 | 738 | MU7363 | OOGS Running | 279
743 | 743 | QU3910 | JVI Running | 186
743 | 743 | XD7042 | IYDM Running | 190
744 | 744 | DD9967 | TCXS Running | 288
745 | 745 | MG8205 | ZDEY Running | 157
749 | 749 | FW6957 | WCXY Running | 136
754 | 754 | VL5374 | OJGN Running | 35
756 | 756 | UR2397 | DVK Running | 38
757 | 757 | PX1184 | IYOH Running | 104
759 | 759 | PG5871 | IUNW Running | 488
760 | 760 | GC9521 | CJTY Running | 302
760 | 760 | QJ4589 | FKIV Running | 295
761 | 761 | KY9181 | IZCW Running | 91
762 | 762 | OZ9719 | XDZS Running | 440
763 | 763 | BW4028 | ZODI Running | 5
765 | 765 | AR5532 | VATX Running | 287
765 | 765 | RK3997 | DGSE Running | 5
767 | 767 | YS5313 | WOGG Running | 12
768 | 768 | BW4028 | ZODI Waiting | 382
768 | 768 | MU7363 | OOGS Running | 249
770 | 770 | RK3997 | DGSE Waiting | 279
773 | 773 | XD7042 | IYDM Running | 160
774 | 774 | DD9967 | TCXS Running | 258
775 | 775 | MG8205 | ZDEY Running | 127
779 | 779 | YS5313 | JGZ Running | 386
779 | 779 | FW6957 | WCXY Running | 106
784 | 784 | VL5374 | OJGN Running | 5
787 | 787 | PX1184 | IYOH Running | 74
789 | 789 | VL5374 | OJGN Waiting | 248
789 | 789 | PG5871 | IUNW Running | 458
790 | 790 | GC9521 | CJTY Running | 272
790 | 790 | QJ4589 | FKIV Running | 265
791 | 791 | KY9181 | IZCW Running | 61
792 | 792 | OZ9719 | XDZS Running | 410
794 | 794 | UR2397 | DVK Waiting | 399
795 | 795 | AR5532 | VATX Running | 257
798 | 798 | MU7363 | OOGS Running | 219
800 | 800 | QP9398 | COUC Running | 306
801 | 801 | DF5201 | DXEO Running | 260
803 | 803 | XD7042 | IYDM Running | 130
804 | 804 | DD9967 | TCXS Running | 228
805 | 805 | MG8205 | ZDEY Running | 97
809 | 809 | FW6957 | WCXY Running | 76
817 | 817 | PX1184 | IYOH Running | 44
819 | 819 | PG5871 | IUNW Running | 428
820 | 820 | GC9521 | CJTY Running | 242
820 | 820 | QJ4589 | FKIV Running | 235
821 | 821 | KY9181 | IZCW Running | 31
822 | 822 | XZ7278 | IWEJ Running | 104
822 | 822 | OZ9719 | XDZS Running | 380
825 | 825 | AR5532 | VATX Running | 227
827 | 827 | LC5212 | DSOT Running | 217
828 | 828 | MU7363 | OOGS Running | 189
830 | 830 | QP9398 | COUC Running | 276
831 | 831 | DF5201 | DXEO Running | 230
833 | 833 | XD7042 | IYDM Running | 100
834 | 834 | DD9967 | TCXS Running | 198
835 | 835 | MG8205 | ZDEY Running | 67
839 | 839 | FW6957 | WCXY Running | 46
847 | 847 | PX1184 | IYOH Running | 14
849 | 849 | PG5871 | IUNW Running | 398
850 | 850 | GC9521 | CJTY Running | 212
850 | 850 | QJ4589 | FKIV Running | 205
851 | 851 | KY9181 | IZCW Running | 1
852 | 852 | KY9181 | IZCW Waiting | 281
852 | 852 | OZ9719 | XDZS Running | 350
852 | 852 | XZ7278 | IWEJ Running | 74
855 | 855 | AR5532 | VATX Running | 197
857 | 857 | LC5212 | DSOT Running | 187
858 | 858 | MU7363 | OOGS Running | 159
860 | 860 | QP9398 | COUC Running | 246
861 | 861 | PX1184 | IYOH Waiting | 448
861 | 861 | DF5201 | DXEO Running | 200
862 | 890 | XO3259 | COUC Running | 464
863 | 863 | XD7042 | IYDM Running | 70
864 | 864 | DD9967 | TCXS Running | 168
865 | 865 | MG8205 | ZDEY Running | 37
869 | 869 | FW6957 | WCXY Running | 16
879 | 879 | PG5871 | IUNW Running | 368
880 | 880 | QU7673 | XEHG Running | 290
880 | 880 | GC9521 | CJTY Running | 182
880 | 880 | QJ4589 | FKIV Running | 175
882 | 882 | OZ9719 | XDZS Running | 320
882 | 882 | XZ7278 | IWEJ Running | 44
885 | 885 | FW6957 | WCXY Waiting | 37
885 | 885 | AR5532 | VATX Running | 167
887 | 887 | LC5212 | DSOT Running | 157
888 | 888 | MU7363 | OOGS Running | 129
890 | 920 | QP9398 | COUC Running | 216
891 | 891 | DF5201 | DXEO Running | 170
893 | 893 | XD7042 | IYDM Running | 40
894 | 894 | DD9967 | TCXS Running | 138
895 | 895 | MG8205 | ZDEY Running | 7
902 | 902 | MG8205 | ZDEY Waiting | 184
909 | 909 | PG5871 | IUNW Running | 338
910 | 910 | GC9521 | CJTY Running | 152
910 | 910 | QJ4589 | FKIV Running | 145
910 | 910 | QU7673 | XEHG Running | 260
912 | 912 | OZ9719 | XDZS Running | 290
912 | 912 | XZ7278 | IWEJ Running | 14
914 | 914 | II7761 | WAT Waiting | 398
915 | 915 | AR5532 | VATX Running | 137
917 | 917 | LC5212 | DSOT Running | 127
918 | 918 | MU7363 | OOGS Running | 99
920 | 950 | XO3259 | COUC Running | 434
921 | 921 | DF5201 | DXEO Running | 140
922 | 922 | FW6957 | WCXY Running | 93
923 | 923 | XD7042 | IYDM Running | 10
924 | 924 | DD9967 | TCXS Running | 108
926 | 926 | XZ7278 | VRS Running | 237
