2117 | 2206 | MS3124 | LMZ Running | 211
2120 | 2180 | TA8105 | QOUU Running | 50
2128 | 2128 | KN3596 | VBQ Running | 271
2147 | 2417 | GR6984 | LMZ Running | 394
2150 | 2210 | HS5200 | QOUU Running | 215
2165 | 2165 | BV4449 | LMZ Waiting | 74
2180 | 2240 | VQ3814 | QOUU Running | 288
2182 | 2182 | NP7136 | HVX Waiting | 428
2206 | 2206 | NR2236 | LMZ Waiting | 294
2210 | 2270 | TA8105 | QOUU Running | 20
2223 | 2223 | LA6163 | SHN Running | 293
2239 | 2811 | BV4449 | LMZ Running | 231
2240 | 2290 | HS5200 | QOUU Running | 185
2270 | 2320 | VQ3814 | QOUU Running | 258
2290 | 2290 | TA8105 | QOUU Waiting | 153
2320 | 2350 | HS5200 | QOUU Running | 155
2350 | 2380 | VQ3814 | QOUU Running | 228
2380 | 2410 | HS5200 | QOUU Running | 125
2399 | 2399 | KN3596 | VBQ Waiting | 489
2410 | 2440 | VQ3814 | QOUU Running | 198
2417 | 2417 | MS3124 | LMZ Waiting | 215
2440 | 2470 | HS5200 | QOUU Running | 95
2443 | 2500 | TA8105 | QOUU Running | 473
2470 | 2530 | VQ3814 | QOUU Running | 168
2500 | 3042 | NR2236 | LMZ Running | 148
2500 | 2560 | HS5200 | QOUU Running | 65
2516 | 2516 | LA6163 | SHN Waiting | 4
2520 | 2520 | LA6163 | SHN Running | 346
2530 | 2590 | TA8105 | QOUU Running | 443
2560 | 2620 | VQ3814 | QOUU Running | 138
2590 | 2650 | HS5200 | QOUU Running | 35
2610 | 2610 | NP7136 | HVX Running | 397
2620 | 2680 | TA8105 | QOUU Running | 413
2632 | 3190 | MS3124 | LMZ Running | 420
2650 | 2710 | VQ3814 | QOUU Running | 108
2680 | 2740 | HS5200 | QOUU Running | 5
2710 | 2745 | TA8105 | QOUU Running | 383
2740 | 2775 | VQ3814 | QOUU Running | 78
2745 | 2745 | HS5200 | OAP Running | 248
2775 | 2805 | TA8105 | QOUU Running | 353
2805 | 2835 | VQ3814 | QOUU Running | 48
2811 | 2811 | GR6984 | LMZ Waiting | 463
2835 | 2865 | TA8105 | QOUU Running | 323
2865 | 2895 | VQ3814 | QOUU Running | 18
2866 | 2913 | LA6163 | QOUU Running | 317
2888 | 2888 | KN3596 | VBQ Running | 234
2895 | 2943 | TA8105 | QOUU Running | 293
2913 | 3122 | VQ3814 | VBQ Running | 4
2943 | 2973 | LA6163 | QOUU Running | 287
2973 | 3003 | TA8105 | QOUU Running | 263
2993 | 2993 | HS5200 | OAP Waiting | 45
3003 | 3033 | LA6163 | QOUU Running | 257
3007 | 3007 | NP7136 | ISBC Running | 401
3033 | 3063 | TA8105 | QOUU Running | 233
3037 | 3037 | NP7136 | ISBC Running | 371
3038 | 3038 | HS5200 | OAP Running | 20
3042 | 3042 | BV4449 | LMZ Waiting | 27
3058 | 3058 | HS5200 | OAP Waiting | 103
3063 | 3093 | LA6163 | QOUU Running | 227
3067 | 3067 | NP7136 | ISBC Running | 341
3069 | 3610 | BV4449 | LMZ Running | 185
3093 | 3123 | TA8105 | QOUU Running | 203
3097 | 3097 | NP7136 | ISBC Running | 311
3122 | 3122 | KN3596 | VBQ Waiting | 227
3123 | 3153 | LA6163 | QOUU Running | 197
3126 | 3126 | VQ3814 | VBQ Waiting | 49
3127 | 3127 | NP7136 | ISBC Running | 281
3153 | 3183 | TA8105 | QOUU Running | 173
3157 | 3157 | NP7136 | ISBC Running | 251
3161 | 3161 | HS5200 | OAP Running | 185
3175 | 3175 | VQ3814 | VBQ Running | 130
3183 | 3213 | LA6163 | QOUU Running | 167
3187 | 3187 | NP7136 | ISBC Running | 221
3190 | 3190 | NR2236 | IJSM Running | 44
3213 | 3243 | TA8105 | QOUU Running | 143
3217 | 3217 | NP7136 | ISBC Running | 191
3220 | 3220 | NR2236 | IJSM Running | 14
3234 | 3234 | NR2236 | IJSM Waiting | 27
3243 | 3273 | LA6163 | QOUU Running | 137
3247 | 3247 | NP7136 | ISBC Running | 161
3261 | 3261 | NR2236 | IJSM Running | 368
3273 | 3303 | TA8105 | QOUU Running | 113
3274 | 3795 | GR6984 | LMZ Running | 200
3277 | 3277 | NP7136 | ISBC Running | 131
3291 | 3291 | NR2236 | IJSM Running | 338
3303 | 3333 | LA6163 | QOUU Running | 107
